sku_id,product_name,category,subcategory,brand,base_price,season,inventory_count,supplier
1,INC Sleepwear Purpose,Apparel,Sleepwear,INC,83.88,Summer,1243,Macy's Direct
2,Nike Athletic Brother,Shoes,Athletic,Nike,284.01,All,1423,Premier Apparel Co
3,Hotel Collection Bath Ago,Home,Bath,Hotel Collection,460.45,Fall,204,Footwear Partners LLC
4,Dior Skincare Site,Beauty,Skincare,Dior,59.24,Spring,1251,Footwear Partners LLC
5,INC Activewear Face,Apparel,Activewear,INC,32.56,Spring,249,Accent Accessories Inc
6,INC Outerwear Election,Apparel,Outerwear,INC,151.45,Summer,689,Macy's Direct
7,Style & Co Dresse Dog,Apparel,Dresses,Style & Co,117.5,Summer,638,Premier Apparel Co
8,Tory Burch Belt Chair,Accessories,Belts,Tory Burch,216.14,Winter,1226,Macy's Direct
9,Hotel Collection Furniture Since,Home,Furniture,Hotel Collection,578.77,Fall,198,Footwear Partners LLC
10,Cuisinart Luggage Blue,Home,Luggage,Cuisinart,248.2,All,895,Accent Accessories Inc
11,Style & Co Outerwear Require,Apparel,Outerwear,Style & Co,165.5,Fall,20,HomeStyle Imports
12,Nike Sandal Sit,Shoes,Sandals,Nike,119.52,Winter,983,Vendor Marketplace
13,Michael Kors Handbag Wait,Accessories,Handbags,Michael Kors,293.77,Summer,852,Footwear Partners LLC
14,Tommy Hilfiger Outerwear Offer,Apparel,Outerwear,Tommy Hilfiger,161.92,Summer,424,Global Beauty Group
15,Style & Co Top Begin,Apparel,Tops,Style & Co,29.96,Winter,894,Vendor Marketplace
16,INC Pant Performance,Apparel,Pants,INC,81.47,All,1014,Macy's Direct
17,INC Outerwear Knowledge,Apparel,Outerwear,INC,147.65,All,572,Global Beauty Group
18,Chanel Makeup Almost,Beauty,Makeup,Chanel,156.92,Winter,422,Global Beauty Group
19,Dior Skincare All,Beauty,Skincare,Dior,131.79,Fall,965,HomeStyle Imports
20,INC Activewear Better,Apparel,Activewear,INC,75.88,All,841,HomeStyle Imports
21,KitchenAid Bedding Discover,Home,Bedding,KitchenAid,116.15,All,1135,Global Beauty Group
22,Levi's Suit Early,Apparel,Suits,Levi's,73.62,Spring,1167,Accent Accessories Inc
23,Tommy Hilfiger Suit Mouth,Apparel,Suits,Tommy Hilfiger,117.65,Winter,1109,Accent Accessories Inc
24,Levi's Top Play,Apparel,Tops,Levi's,90.38,Winter,1317,Macy's Direct
25,Dior Skincare Agreement,Beauty,Skincare,Dior,148.06,Fall,242,Premier Apparel Co
26,Coach Watche Option,Accessories,Watches,Coach,636.5,Summer,390,Vendor Marketplace
27,Alfani Top Decide,Apparel,Tops,Alfani,221.23,Fall,1091,Macy's Direct
28,Lancome Haircare Sense,Beauty,Haircare,Lancome,139.86,Fall,375,HomeStyle Imports
29,Clinique Makeup Rate,Beauty,Makeup,Clinique,35.83,Winter,627,Global Beauty Group
30,Style & Co Pant Science,Apparel,Pants,Style & Co,220.88,Summer,1000,Footwear Partners LLC
31,Cuisinart Kitchen Offer,Home,Kitchen,Cuisinart,344.91,Winter,880,Footwear Partners LLC
32,INC Sleepwear Kind,Apparel,Sleepwear,INC,31.11,Spring,1277,Accent Accessories Inc
33,Style & Co Sleepwear Discussion,Apparel,Sleepwear,Style & Co,102.32,Summer,1011,Accent Accessories Inc
34,Nine West Athletic List,Shoes,Athletic,Nine West,287.49,Summer,600,Premier Apparel Co
35,Adidas Flat Perform,Shoes,Flats,Adidas,163.19,Spring,708,Global Beauty Group
36,Tag Heuer Scarve Fall,Accessories,Scarves,Tag Heuer,772.82,Summer,7,Accent Accessories Inc
37,Levi's Top Table,Apparel,Tops,Levi's,89.61,Winter,163,Global Beauty Group
38,Alfani Suit True,Apparel,Suits,Alfani,87.2,Summer,904,Vendor Marketplace
39,Hotel Collection Bedding According,Home,Bedding,Hotel Collection,249.66,All,1127,Vendor Marketplace
40,Bobbi Brown Skincare Song,Beauty,Skincare,Bobbi Brown,100.83,Fall,1477,Global Beauty Group
41,Tommy Hilfiger Outerwear Sure,Apparel,Outerwear,Tommy Hilfiger,203.48,Summer,386,Macy's Direct
42,Chanel Fragrance Collection,Beauty,Fragrance,Chanel,74.91,All,39,Footwear Partners LLC
43,Style & Co Pant Save,Apparel,Pants,Style & Co,139.09,Fall,1014,Footwear Partners LLC
