campaign_id,campaign_name,brief,target_segment,start_date,end_date,total_budget,status
1,Spring Style Refresh 2026,Drive Spring apparel sell through with a focus on dresses and lightweight outerwear for women 25 to 45 in warm weather regions.,"Women 25-45, warm regions, fashion forward",2026-05-19,2026-07-18,850000.0,planned
2,Mother's Day Beauty Event 2026,"Promote prestige beauty gift sets for Mother's Day. Emphasize Estee Lauder, Clinique, and Lancome bundles.","Gift givers, Silver and Gold tier loyalty",2026-05-07,2026-05-21,600000.0,planned
3,Memorial Day Home Sale 2026,"Site wide home sale featuring bedding, bath, and small appliances. Anchor on 30 percent off mattresses.",Homeowners 30-65 across all regions,2026-04-09,2026-05-24,1200000.0,live
4,Summer Friends and Family 2026,"Annual loyalty event. Extra 25 percent off plus free shipping. Cross category, deepest pricing of the season.","All Star Rewards members, lapsed buyers",2026-06-23,2026-07-08,1800000.0,planned
5,Back To School 2025,"Apparel, shoes, and dorm essentials for the K-12 and college audience. Lean on backpacks and sneakers.","Parents 30-50, college students 18-24",2025-06-03,2025-10-01,950000.0,completed
6,Labor Day Mattress Event 2025,Three day mattress and bedding event. Hero is sealy and serta with 0 percent APR financing.,"Home shoppers, recent furniture browsers",2025-10-01,2025-11-20,700000.0,completed
7,Fall Style Edit 2025,"Curated fall fashion drop. Focus on outerwear, denim, boots, and transitional layering.","Fashion engaged 25-55, cooler regions",2025-09-01,2025-12-30,1100000.0,completed
8,Black Friday 2025,"Site wide doorbusters across all categories. Heavy paid media push, hourly deal rotations.","All shoppers, deep deal seekers",2025-11-10,2026-01-09,3500000.0,completed
9,Holiday Gift Guide 2025,"Editorial gift guide across price points. Lean into beauty gift sets, watches, and home decor.","Gift givers, Gold and Platinum tiers",2025-11-20,2026-03-05,2200000.0,completed
10,Lunar New Year 2026,"Cultural moment activation in major metro markets. Red packets, gold accents, premium beauty.","AAPI customers, urban metros",2026-01-24,2026-03-05,350000.0,completed
11,Valentines Day Jewelry 2026,Fine jewelry and watches event. Emphasize quick ship and free engraving.,"Gift givers, urban regions",2026-02-13,2026-03-15,480000.0,completed
12,Easter Family Style 2026,"Spring family dressing, including kids apparel and accessories. Pastel palette.","Parents 25-45, all regions",2026-03-30,2026-05-09,320000.0,live
